keyword,volume,cpc_usd,competition,trend_12mo
"texas teacher certification renewal",70,0.00,0.02,"90|90|90|50|50|40|50|70|70|70|90|140"
"louisiana teacher certification renewal",70,0.00,0,"140|140|90|110|40|40|70|50|70|50|50|50"
"school enrollment software",50,16.13,0.5,"50|90|90|50|50|50|50|50|30|40|20|20"
"online school registration software",50,18.57,0.36,"90|50|110|90|40|40|40|40|30|20|10|10"
"wisdom where",40,0.00,0.03,"30|90|70|50|40|30|30|50|40|30|30|30"
"vector solutions reviews",40,0.00,0.03,"40|40|40|40|20|30|40|40|30|30|40|50"
"solutionware",30,0.00,0.02,"40|40|30|40|20|30|30|30|30|40|20|30"
"wonderschool reviews",30,0.00,0.02,"50|50|50|40|30|20|20|30|20|20|30|40"
"solutionwhere",20,0.00,0.03,"20|20|30|10|10|10|20|30|30|10|20|30"
"solutionwhere login",20,0.00,0.03,"30|30|30|30|10|10|20|20|20|10|10|10"
"professional learning management system",20,6.23,0.51,"20|30|40|50|20|10|20|20|20|20|30|20"
"online student registration software",20,0.00,0.84,"10|10|170|10|0|10|20|10|10|10|0|10"
"how to renew teaching license in indiana",20,0.00,0,"10|10|10|20|20|10|30|40|30|50|50|10"
"vector solutions pricing",20,10.89,0.39,"20|30|40|20|10|20|20|20|20|30|10|20"
"sibme reviews",20,3.36,0.25,"10|20|40|30|30|40|10|20|20|20|10|20"
"solution where",10,0.00,0.36,"10|10|10|10|10|10|10|10|10|10|10"
"coursewhere",10,0.00,0.06,"10|20|30|10|20|10|20|10|10|10|10|10"
"coursewhere login",10,0.00,0,"0|10|0|0|0|0|0|0|0|0|0|0"
"professional development management software",10,0.00,0,"10|10|0|10|10|10|10|10|0|0|10|0"
"teacher professional development software",10,0.00,0.86,"10|10|10|10|10|0|10|10|10|10|0|10"
"professional development tracking software",10,0.00,0.23,"20|10|10|10|10|10|10|10|30|10|10|10"
"school lottery software",10,3.48,0.63,"10|10|10|10|10|10|10|20|30|20|10|10"
"classroom walkthrough software",10,0.00,0.34,"10|10|10|10|10|10|10|0|10|10|10|10"
"professional development management system",10,0.00,0.48,"30|10|10|10|10|10|10|10|10|20|10|10"
"online enrollment system for schools",10,0.00,0,"10|10|10|10|10|10|10|10|10|10|10|0"
"pennsylvania teacher certification renewal",10,0.00,0,"10|10|10|0|10|0|10|10|0|0|10|10"
"ohio teacher certification renewal",10,0.00,0,"10|10|10|10|10|10|10|10|10|10|10|10"
"new york teacher certification renewal",10,0.00,0,"10|10|10|0|10|10|10|0|10|10|0|10"
"illinois teacher professional development requirements",10,0.00,0.06,"10|10|10|10|0|10|10|10|10|10|10|10"
"kalpa reviews",10,0.00,0,"0|0|0|10|10|10|10|10|0|0|0|0"
"schoolmint pricing",10,0.00,0.43,"10|10|10|10|10|10|10|10|10|10|10|10"
"schoolmint reviews",10,2.67,0.19,"10|10|10|20|10|10|10|10|10|20|40|10"
"avela reviews",10,0.00,0,"20|10|10|10|10|10|10|20|20|10|10|10"
"sibme pricing",10,0.00,0,"0|10|10|0|10|10|10|10|10|10|10|0"
"edthena pricing",10,0.00,0.33,"0|10|10|0|10|10|0|10|10|10|10|10"
"iris connect reviews",10,0.00,0.52,"10|10|10|10|10|10|0|10|10|10|10|10"
"icarol pricing",10,0.00,0.36,"20|10|10|10|10|10|10|0|10|10|0|10"
"wonderschool pricing",10,0.00,0.2,"10|10|10|10|10|10|10|10|10|10|10|10"
"solutionwhere inc",0,0.00,0,""
"solutionwhere software",0,0.00,0,""
"solutionwhere support",0,0.00,0,""
"solution ware software",0,0.00,0,""
"wisdomwhere professional development",0,0.00,0,""
"wisdomwhere software",0,0.00,0,""
"wisdomwhere training",0,0.00,0,""
"wisdomwhere pricing",0,0.00,0,""
"course where software",0,0.00,0,""
"coursewhere alternative",0,0.00,0,""
"coursewhere replacement",0,0.00,0,""
"coursewhere upgrade",0,0.00,0,""
"coursewhere to wisdomwhere",0,0.00,0,""
"coursewhere end of life",0,0.00,0,""
"coursewhere support",0,0.00,0,""
"central pd registry",0,0.00,0,""
"central pd approval",0,0.00,0,""
"great school jobs",0,0.00,0,"0|0|0|0|0|0|0|0|0|0|0|0"
"pearson schoolnet eds replacement",0,0.00,0,""
"schoolnet eds alternative",0,0.00,0,""
"frontline professional growth alternative",0,0.00,0,""
"frontline education alternative",0,0.00,0,""
"frontline pd alternative",0,0.00,0,""
"frontline professional growth competitors",0,0.00,0,""
"frontline professional growth pricing",0,0.00,0,""
"alternative to frontline education",0,0.00,0,""
"frontline professional growth reviews",0,0.00,0,""
"mylearningplan alternative",0,0.00,0,""
"mylearningplan replacement",0,0.00,0,""
"my learning plan alternative",0,0.00,0,""
"mylearningplan competitors",0,0.00,0,""
"mylearningplan frontline migration",0,0.00,0,""
"vector solutions pd alternative",0,0.00,0,""
"vector solutions professional development alternative",0,0.00,0,""
"safeschools alternative",0,0.00,0,""
"vector solutions competitors education",0,0.00,0,""
"kalpa alternative",0,0.00,0,""
"kalpa professional development alternative",0,0.00,0,""
"escworks alternative",0,0.00,0,""
"pdplanner alternative",0,0.00,0,""
"schooldata.net alternative",0,0.00,0,""
"kickup learning alternative",0,0.00,0,""
"growelab alternative",0,0.00,0,""
"plad alternative",0,0.00,0,""
"professional development software for schools",0,0.00,0,""
"professional development software for school districts",0,0.00,0,""
"pd management software",0,0.00,0,""
"educator professional development software",0,0.00,0,""
"professional development registration software",0,0.00,0,""
"pd registration system for schools",0,0.00,0,""
"training registration software for schools",0,0.00,0,""
"workshop registration software for school districts",0,0.00,0,""
"course registration software for districts",0,0.00,0,""
"education conference registration software",0,0.00,0,""
"pd catalog software",0,0.00,0,""
"teacher pd tracking system",0,0.00,0,""
"ceu tracking software for schools",0,0.00,0,""
"clock hour tracking software teachers",0,0.00,0,""
"professional development record keeping software",0,0.00,0,""
"educator credential tracking software",0,0.00,0,""
"teacher recertification tracking software",0,0.00,0,""
"professional development software for isd",0,0.00,0,""
"professional development software for boces",0,0.00,0,""
"professional development software for intermediate unit",0,0.00,0,""
"training management software for educational service center",0,0.00,0,""
"pd software for regional education agency",0,0.00,0,""
"professional development software for state education agency",0,0.00,0,""
"professional development software for esc",0,0.00,0,""
"professional development software for aea",0,0.00,0,""
"student enrollment software for districts",0,0.00,0,""
"online enrollment software for schools",0,0.00,0,""
"district enrollment management system",0,0.00,0,""
"k-12 enrollment software",0,0.00,0,""
"school registration software",0,0.00,0,"0|0|0|0|0|0|0|0|0|0|0|0"
"online school registration system",0,0.00,0,"0|0|0|0|0|0|0|0|0|0|0|0"
"back to school registration software",0,0.00,0,""
"student registration software for school districts",0,0.00,0,""
"digital registration forms for schools",0,0.00,0,""
"school choice software",0,0.00,0,""
"student lottery software",0,0.00,0,""
"magnet school application software",0,0.00,0,""
"open enrollment software for districts",0,0.00,0,""
"school choice application system",0,0.00,0,""
"weighted lottery software schools",0,0.00,0,""
"pre k enrollment software",0,0.00,0,""
"preschool enrollment software for districts",0,0.00,0,""
"early childhood enrollment system",0,0.00,0,""
"kindergarten registration software",0,0.00,0,""
"pre k application system",0,0.00,0,""
"early childhood registration software",0,0.00,0,""
"student residency verification software",0,0.00,0,""
"school enrollment waitlist software",0,0.00,0,""
"in district transfer software schools",0,0.00,0,""
"enrollment document verification software",0,0.00,0,""
"sibling preference enrollment software",0,0.00,0,""
"instructional coaching software",0,0.00,0,""
"instructional coaching platform",0,0.00,0,""
"instructional coaching software for districts",0,0.00,0,""
"teacher coaching software",0,0.00,0,""
"coaching software for schools",0,0.00,0,""
"coaching log software",0,0.00,0,""
"instructional coaching tracking software",0,0.00,0,""
"coaching cycle tracking software",0,0.00,0,""
"coaching caseload management software",0,0.00,0,""
"teacher observation and coaching software",0,0.00,0,""
"coaching documentation system schools",0,0.00,0,""
"walkthrough observation app for schools",0,0.00,0,""
"classroom observation software non evaluative",0,0.00,0,""
"instructional rounds software",0,0.00,0,""
"early childhood coaching software",0,0.00,0,""
"child care coaching software",0,0.00,0,""
"technical assistance tracking software",0,0.00,0,""
"qris coaching software",0,0.00,0,""
"early childhood technical assistance software",0,0.00,0,""
"child care quality improvement software",0,0.00,0,""
"coaching software for ccr&r",0,0.00,0,""
"child care referral software",0,0.00,0,""
"child care resource and referral software",0,0.00,0,""
"ccr&r software",0,0.00,0,""
"ccrr software",0,0.00,0,""
"child care referral tracking system",0,0.00,0,""
"child care referral management software",0,0.00,0,""
"child care provider database software",0,0.00,0,""
"child care intake software",0,0.00,0,""
"family child care referral system",0,0.00,0,""
"child care search software for agencies",0,0.00,0,""
"child care supply and demand data software",0,0.00,0,""
"child care referral reporting software",0,0.00,0,""
"schoolmint alternative",0,0.00,0,""
"schoolmint competitors",0,0.00,0,""
"powerschool enrollment alternative",0,0.00,0,""
"powerschool registration alternative",0,0.00,0,""
"infinite campus online registration alternative",0,0.00,0,""
"avela alternative",0,0.00,0,""
"final forms alternative",0,0.00,0,""
"registration gateway alternative",0,0.00,0,""
"enrollwise alternative",0,0.00,0,""
"edbrix alternative",0,0.00,0,""
"sibme alternative",0,0.00,0,""
"kickup alternative",0,0.00,0,""
"kickup foundations alternative",0,0.00,0,""
"teachboost alternative",0,0.00,0,""
"schoolstatus boost alternative",0,0.00,0,""
"schoolstatus coach alternative",0,0.00,0,""
"edthena alternative",0,0.00,0,""
"iris connect alternative",0,0.00,0,""
"whetstone education alternative",0,0.00,0,""
"bullseye evaluation alternative",0,0.00,0,""
"worklife systems alternative",0,0.00,0,""
"icarol alternative",0,0.00,0,""
"kindersystems alternative",0,0.00,0,""
"bridgecare alternative",0,0.00,0,""
"tootris alternative",0,0.00,0,""
"wonderschool alternative",0,0.00,0,""
"insight child care software alternative",0,0.00,0,""
"professional development platform for districts",0,0.00,0,""
"registration software for professional development",0,0.00,0,""
"online pd registration system",0,0.00,0,""
"track professional development hours software",0,0.00,0,""
"enrollment software for school districts",0,0.00,0,""
"online registration for school districts",0,0.00,0,""
"paperless school registration",0,0.00,0,""
"school choice lottery platform",0,0.00,0,""
"pre-k enrollment platform",0,0.00,0,""
"instructional coaching management software",0,0.00,0,""
"software for instructional coaches",0,0.00,0,""
"log coaching visits software",0,0.00,0,""
"coaching software for early childhood programs",0,0.00,0,""
"software for child care resource and referral agencies",0,0.00,0,""
"scech tracking software",0,0.00,0,""
"scech reporting requirements",0,0.00,0,""
"how to submit scech",0,0.00,0,""
"act 48 tracking software",0,0.00,0,""
"act 48 reporting for districts",0,0.00,0,""
"act 48 hours tracking",0,0.00,0,""
"cpe tracking software teachers",0,0.00,0,""
"texas cpe hours tracking",0,0.00,0,""
"lpdc tracking software",0,0.00,0,""
"local professional development committee software",0,0.00,0,""
"ctle tracking software",0,0.00,0,""
"ctle hours reporting",0,0.00,0,""
"illinois pd clock hours tracking",0,0.00,0,""
"isbe professional development reporting",0,0.00,0,""
"michigan teaching license renewal requirements",0,0.00,0,""
"how to renew teaching license in michigan",0,0.00,0,""
"michigan teacher professional development requirements",0,0.00,0,""
"michigan teacher recertification hours",0,0.00,0,""
"pennsylvania teaching license renewal requirements",0,0.00,0,""
"how to renew teaching license in pennsylvania",0,0.00,0,""
"pennsylvania teacher professional development requirements",0,0.00,0,""
"pennsylvania teacher recertification hours",0,0.00,0,""
"ohio teaching license renewal requirements",0,0.00,0,""
"ohio teacher professional development requirements",0,0.00,0,""
"ohio teacher recertification hours",0,0.00,0,""
"new york teaching license renewal requirements",0,0.00,0,""
"how to renew teaching license in new york",0,0.00,0,""
"new york teacher professional development requirements",0,0.00,0,""
"new york teacher recertification hours",0,0.00,0,""
"texas teaching license renewal requirements",0,0.00,0,""
"how to renew teaching license in texas",0,0.00,0,""
"texas teacher professional development requirements",0,0.00,0,""
"texas teacher recertification hours",0,0.00,0,""
"illinois teaching license renewal requirements",0,0.00,0,""
"how to renew teaching license in illinois",0,0.00,0,""
"illinois teacher recertification hours",0,0.00,0,""
"louisiana teaching license renewal requirements",0,0.00,0,""
"how to renew teaching license in louisiana",0,0.00,0,""
"louisiana teacher professional development requirements",0,0.00,0,""
"louisiana teacher recertification hours",0,0.00,0,""
"indiana teacher certification renewal",0,0.00,0,""
"indiana teaching license renewal requirements",0,0.00,0,""
"indiana teacher professional development requirements",0,0.00,0,""
"indiana teacher recertification hours",0,0.00,0,""
"school choice lottery software",0,0.00,0,""
"mylearningplan pricing",0,0.00,0,""
"mylearningplan reviews",0,0.00,0,""
"vector solutions alternative",0,0.00,0,""
"kalpa pricing",0,0.00,0,""
"escworks pricing",0,0.00,0,""
"escworks reviews",0,0.00,0,""
"pdplanner",0,0.00,0,""
"pdplanner pricing",0,0.00,0,""
"pdplanner reviews",0,0.00,0,""
"kickup pricing",0,0.00,0,""
"kickup reviews",0,0.00,0,""
"growelab",0,0.00,0,""
"growelab pricing",0,0.00,0,""
"growelab reviews",0,0.00,0,""
"powerschool enrollment pricing",0,0.00,0,""
"powerschool enrollment reviews",0,0.00,0,""
"infinite campus online registration pricing",0,0.00,0,""
"infinite campus online registration reviews",0,0.00,0,""
"avela pricing",0,0.00,0,""
"enrollwise",0,0.00,0,""
"enrollwise pricing",0,0.00,0,""
"enrollwise reviews",0,0.00,0,""
"teachboost pricing",0,0.00,0,""
"teachboost reviews",0,0.00,0,""
"schoolstatus alternative",0,0.00,0,""
"schoolstatus pricing",0,0.00,0,""
"schoolstatus reviews",0,0.00,0,""
"edthena reviews",0,0.00,0,""
"iris connect pricing",0,0.00,0,""
"whetstone education pricing",0,0.00,0,""
"whetstone education reviews",0,0.00,0,""
"worklife systems",0,0.00,0,""
"worklife systems pricing",0,0.00,0,""
"worklife systems reviews",0,0.00,0,""
"icarol reviews",0,0.00,0,""
"kindersystems pricing",0,0.00,0,""
"kindersystems reviews",0,0.00,0,""
"bridgecare pricing",0,0.00,0,""
"bridgecare reviews",0,0.00,0,""
"coursewhere pricing",0,0.00,0,""
"coursewhere reviews",0,0.00,0,""
"wisdomwhere alternative",0,0.00,0,""
"wisdomwhere reviews",0,0.00,0,""
"solutionwhere alternative",0,0.00,0,""
"solutionwhere pricing",0,0.00,0,""
"solutionwhere reviews",0,0.00,0,""
"boces professional development software",0,0.00,0,""
"michigan isd software",0,0.00,0,""
"intermediate unit software pennsylvania",0,0.00,0,""
"esc software ohio",0,0.00,0,""
"act 48 tracking",0,0.00,0,""
"scech tracking",0,0.00,0,""
"lpdc software",0,0.00,0,""
